text,label,split,cleaned_text
Perusahaan mengulangi pandangannya untuk tahun 2009 .,1,Train,perusahaan mengulangi pandangannya token_tahun
Pusat perbelanjaan Stockmann Latvia adalah anak perusahaan dari Stockmann Plc Finlandia. .,1,Train,pusat perbelanjaan stockmann latvia anak perusahaan dari stockmann perusahaan publik finlandia
"Menurut Finnish Metso Minerals, nilai pesanan perusahaan telah naik menjadi EUR 1,9 miliar dalam 12 bulan.",2,Train,finnish metso corporation minerals nilai pesanan perusahaan naik menjadi token_uang token_angka
"Margin operasi divisi Aker Yards Cruise & Ferries turun dari 8,3 % menjadi 6,4 % pada kuartal pertama tahun 2007 .",0,Train,margin operasi divisi aker yards cruise ferries turun dari token_angka menjadi token_angka kuartal token_tahun
Pangsa pasarnya adalah 6 persen menurut data AC Nielsen tahun 2008 .,1,Train,pangsa pasarnya token_persen data ac nielsen token_tahun
"Biohit Oyj mengembangkan, memproduksi, dan memasarkan produk penanganan cairan dan sistem uji diagnostik untuk digunakan dalam penelitian, perawatan kesehatan, dan laboratorium industri.",1,Train,biohit perusahaan publik mengembangkan memproduksi memasarkan produk penanganan cairan sistem uji diagnostik penelitian perawatan kesehatan laboratorium industri
Jabatan terakhirnya di Nokia Siemens Networks adalah Head of Business Human Resources NSN Global IT.,1,Train,jabatan terakhirnya nokia siemens networks head business human resources nsn global
"Laba sebelum pajak turun sebesar 9 % menjadi EUR 187,8 juta dalam sembilan bulan pertama tahun 2008 , dibandingkan dengan EUR 207,1 juta setahun sebelumnya .",0,Train,laba pajak turun sebesar token_angka menjadi token_uang sembilan token_tahun dibandingkan token_uang setahun
"TomTom yang berbasis di Den Bosch adalah pembuat perangkat navigasi otomotif terbesar di Eropa, sedangkan Garmin yang berbasis di Kepulauan Cayman lebih besar di AS dan secara keseluruhan.",1,Train,tomtom berbasis den bosch pembuat perangkat navigasi otomotif terbesar eropa garmin berbasis kepulauan cayman lebih
Perusahaan beroperasi di seluruh dunia dan mempekerjakan total sekitar 47.000 orang.,1,Train,perusahaan beroperasi dunia mempekerjakan total sekitar token_angka orang
Penjualan oleh Seppala berkurang 6 persen.,0,Train,penjualan seppala berkurang token_persen
"PENGUMUMAN BURSA EFEK Ahlstrom Corporation 23.4.2007 Ahlstrom Corporation akan mempublikasikan hasil keuangan kuartal pertama 2007 pada hari Jumat, 27 April 2007 kira-kira pukul 8.30 pagi waktu Finlandia.",1,Train,pengumuman bursa efek ahlstrom corporation token_angka token_tahun ahlstrom corporation mempublikasikan hasil keuangan kuartal token_tahun jumat token_angka april token_tahun token_angka pagi finlandia
Maksud dari artikel ini adalah untuk memusatkan perhatian pada fakta bahwa model pembangunan yang diikuti Cina sangat berbeda dengan model yang diikuti India.,1,Train,maksud dari artikel memusatkan perhatian fakta model pembangunan diikuti cina sangat berbeda model diikuti india
Talvivaara terdaftar di Pasar Utama Bursa Efek London dan NASDAQ OMX Helsinki dan termasuk dalam Indeks FTSE 250 .,1,Train,talvivaara terdaftar pasar utama bursa efek london bursa efek nasdaq bursa efek nordik helsinki indeks ftse token_angka
"Didirikan pada tahun 1987, Grup SRV adalah perusahaan konstruksi swasta Finlandia yang beroperasi di Finlandia, negara-negara Baltik, dan Rusia.",1,Train,didirikan token_tahun grup srv perusahaan konstruksi swasta finlandia beroperasi finlandia negara negara baltik rusia
Hal ini juga menegaskan pedoman pendapatan untuk seluruh tahun 2009 yang dikeluarkan dalam laporannya untuk tahun 2008 secara keseluruhan.,1,Train,pedoman pendapatan token_tahun dikeluarkan laporannya token_tahun
"ADPnews - Aug 3 , 2009 - Grup media Finlandia Ilkka - Yhtyma Oyj HEL : ILK2S mengatakan hari ini laba bersihnya turun 45 % pada tahun ini menjadi EUR 5,9 juta USD 8,4 juta pada paruh pertama tahun 2009 .",0,Train,adpnews aug token_angka token_tahun grup media finlandia ilkka yhtyma perusahaan publik bursa efek helsinki ilk token_angka laba bersihnya turun token_angka menjadi token_uang token_uang paruh token_tahun
"Kerugian sebelum pajak berjumlah EUR 162,3 juta dibandingkan dengan keuntungan sebesar EUR 253,5 juta pada tahun 2007 .",0,Train,kerugian pajak token_uang dibandingkan keuntungan sebesar token_uang token_tahun
Struktur Grup Aspo dan operasi bisnis terus dikembangkan tanpa jadwal yang telah ditentukan sebelumnya.,1,Train,struktur grup aspo operasi bisnis dikembangkan jadwal ditentukan
"Laba operasional mencapai EUR 1,22 juta , turun dari EUR 3,56 juta di kuartal pertama 2008 .",0,Train,laba operasional mencapai token_uang turun dari token_uang kuartal token_tahun
"Biaya unit untuk operasi penerbangan turun 6,4 persen.",2,Train,biaya unit operasi penerbangan turun token_persen
"Cakupan pengiriman Outotec meliputi desain, teknik dasar dan penyediaan peralatan berpemilik untuk pabrik sinter dengan area parut seluas 496 meter persegi.",1,Train,cakupan pengiriman outotec meliputi desain teknik dasar penyediaan peralatan berpemilik pabrik sinter area parut seluas token_angka meter persegi
"Dalam laporan keuangannya, yang diterbitkan pada hari Jumat, SEB mengatakan laba bersih melonjak menjadi SEK6,745 miliar pada tahun 2010 dari tahun sebelumnya SEK1,114 miliar dan mengusulkan kenaikan dividen 50% menjadi SEK1,50 per saham.",2,Train,laporan keuangannya diterbitkan jumat seb laba bersih melonjak menjadi sek6 token_angka miliar token_tahun dari sek1 token_angka miliar mengusulkan kenaikan dividen token_angka menjadi sek1 token_angka saham
Ponsse memproyeksikan pasar mesin hutan akan meningkat lebih dari yang diharapkan pada tahun 2010 dari tahun sebelumnya.,2,Train,ponsse memproyeksikan pasar mesin hutan meningkat lebih dari diharapkan token_tahun dari
"Tuan McDonald memulai malam itu dengan setnya sendiri, menampilkan hits dari karir solonya dan tahun-tahun Doobie Brothers-nya dan pilihan lagu cover R&B yang mendapat hasil beragam.",1,Train,tuan mcdonald malam setnya menampilkan hits dari karir solonya doobie brothers nya pilihan lagu cover r b hasil beragam
"Berdasarkan perkiraan awal, hotel ini akan beroperasi di bawah merek Novotel.",1,Train,berdasarkan perkiraan hotel beroperasi bawah merek novotel
Latihan ini berasal dari Finlandia pada awal tahun 1930-an sebagai metode pelatihan untuk pemain ski lintas alam.,1,Train,latihan berasal dari finlandia token_tahun metode pelatihan pemain ski lintas alam
"Investasi dalam pengembangan produk mencapai 6,0 juta euro ($8,8 juta).",1,Train,investasi pengembangan produk mencapai token_angka juta euro token_angka juta
"Pasar telah mengharapkan kinerja yang buruk, dan saham perusahaan naik 6 persen pada x20ac 23,89 US$33,84 pada perdagangan sore hari di Helsinki.",2,Train,pasar mengharapkan kinerja buruk saham perusahaan naik token_persen token_uang us token_angka perdagangan sore helsinki
"Komisaris pemerintah daerah +àm+Ñl , Kurt Svensson , mengatakan akan menghubungi manajemen perusahaan Finlandia Componenta untuk mencari tahu apakah ada alternatif terhadap keputusan perusahaan untuk menutup pabriknya di +àm+Ñl .",1,Train,komisaris pemerintah daerah àm ñl kurt svensson menghubungi manajemen perusahaan finlandia componenta mencari alternatif keputusan perusahaan menutup pabriknya àm ñl
Finnlines memiliki enam kapal yang sedang dibangun di China dengan jadwal pengiriman antara kuartal pertama 2011 dan kuartal terakhir 2012 .,1,Train,finnlines memiliki enam kapal dibangun china jadwal pengiriman kuartal token_tahun kuartal token_tahun
"Dewan Neste Oil mengusulkan dividen 1,00 euro untuk setahun penuh 2007, dibandingkan dengan 0,90 euro setahun lalu.",2,Train,dewan neste oil mengusulkan dividen token_angka euro setahun penuh token_tahun dibandingkan token_angka euro setahun
Panostaja tidak mengungkapkan harga pembeliannya.,1,Train,panostaja tidak harga pembeliannya
"Kesepakatan tersebut mencakup seluruh personel PlanMill Oy , yang akan dipindahkan ke perusahaan baru sebagai karyawan lama .",1,Train,kesepakatan mencakup personel planmill perusahaan dipindahkan ke perusahaan karyawan
Elcoteq SE Stock Exchange Announcement 4 Februari 2009 pukul 10.00 WIB Elcoteq akan menerbitkan buletin laporan keuangan tahun 2008 pada hari Rabu tanggal 11 Februari pukul 09.00 WIB.,1,Train,elcoteq stock exchange announcement token_angka februari token_tahun token_angka wib elcoteq menerbitkan buletin laporan keuangan token_tahun rabu tanggal token_angka februari token_angka wib
'Sangat direkomendasikan' adalah Nokian Z G2 menurut 'penilaian ADAC' dalam uji ban musim panas terbaru dari asosiasi mobil Jerman ADAC.,2,Train,sangat direkomendasikan nokian z g2 penilaian adac uji ban musim panas terbaru dari asosiasi mobil jerman adac
"Pendapatan bunga bersih mencapai EUR 15,9 juta, dibandingkan dengan EUR 15,6 juta setahun sebelumnya.",2,Train,pendapatan bunga bersih mencapai token_uang dibandingkan token_uang setahun
Penjualan bersih seluruh tahun fiskal 2008 akan lebih rendah dari tahun 2007 dan laba operasi diperkirakan negatif.,0,Train,penjualan bersih fiskal token_tahun lebih rendah dari token_tahun laba operasi negatif
"ADP News - Nov 13, 2008 - Pembuat PCB papan sirkuit cetak Finlandia Aspocomp Group Oyj OMX: ACG1V hari ini mengatakan bahwa kerugian bersihnya menyempit menjadi EUR 2 juta USD 2,5 juta dalam sembilan bulan pertama tahun 2008 dari EUR 57",2,Train,adp news nov token_angka token_tahun pembuat pcb papan sirkuit cetak finlandia aspocomp group perusahaan publik omx acg token_angka v kerugian bersihnya menyempit menjadi token_uang token_uang sembilan token_tahun dari token_uang
Dividen akan dibayarkan pada tanggal 1 Februari 2010 kepada pemegang saham yang tercatat pada tanggal 19 Januari 2010 .,1,Train,dividen dibayarkan tanggal token_angka februari token_tahun pemegang saham tercatat tanggal token_angka januari token_tahun
Masalah besar bagi kami adalah penempatan tombol.,1,Train,penempatan tombol
Penerbit bertanggung jawab sepenuhnya atas isi pengumuman ini.,1,Train,penerbit bertanggung sepenuhnya atas isi pengumuman
Tyrv+ñinen berpendapat bahwa maskapai ini telah mengulanginya selama beberapa waktu .,1,Train,tyrv ñinen berpendapat maskapai mengulanginya selama
"Sesuai dengan syarat dan ketentuan program opsi 2006 Alma Media, harga pemesanan saham untuk hak opsi 2006A adalah EUR 4,88 per saham dan nilai pembanding buku EUR 0,60 per saham.",1,Train,sesuai syarat ketentuan program opsi token_tahun alma media harga pemesanan saham hak opsi 2006a token_uang saham nilai pembanding buku token_uang saham
"Sebagai bagian dari perjanjian, Aspocomp juga akan memberi Meadville 10 persen bagian dari anak perusahaan yang beroperasi di Oulu, Finlandia.",1,Train,dari perjanjian aspocomp meadville token_persen dari anak perusahaan beroperasi oulu finlandia
"Honkarakenne kemarin juga memutuskan untuk menjual 88.500 saham seri B kepada anggota staf kunci seharga EUR 2,90 per saham.",1,Train,honkarakenne kemarin memutuskan menjual token_angka saham seri b anggota staf kunci seharga token_uang saham
"Penjualan internasional naik sebesar 59,8 % menjadi EUR 1.244,4 juta .",2,Train,penjualan internasional naik sebesar token_angka menjadi token_uang token_angka juta
Pabrik yang diakuisisi memiliki kapasitas tahunan sekitar 300.000 ton dan sebagian besar produksinya dijual ke pelanggan domestik.,1,Train,pabrik diakuisisi memiliki kapasitas tahunan sekitar token_angka ton produksinya dijual ke pelanggan domestik
"Pangsa pasar pinjaman Sampo Bank adalah 13,6 % , turun dari 14,4 % pada kuartal pertama 2008 .",0,Train,pangsa pasar pinjaman sampo bank token_angka turun dari token_angka kuartal token_tahun
"Publishing Kerugian operasional Swedia adalah EUR 1,1 juta di Q1 tahun 2009, dibandingkan dengan laba EUR 0,6 juta setahun yang lalu.",0,Train,publishing kerugian operasional swedia token_uang kuartal token_tahun dibandingkan laba token_uang setahun
"2009 3 Februari 2010 - Pembuat baja Finlandia Rautaruukki Oyj ( HEL : RTRKS ) , atau Ruukki , mengatakan hari ini tergelincir ke kerugian sebelum pajak yang lebih besar dari perkiraan sebesar EUR46 juta pada kuartal keempat tahun 2009 dari laba tahun sebelumnya sebesar EUR45 juta .",0,Train,token_tahun token_angka februari token_tahun pembuat baja finlandia rautaruukki perusahaan publik bursa efek helsinki rtrks ruukki tergelincir ke kerugian pajak lebih dari perkiraan sebesar token_uang kuartal keempat token_tahun dari laba sebesar token_uang
Informasi berikut dirilis oleh Comptel: Besok Ketua Komisi Komunikasi Federal dijadwalkan untuk menyampaikan Rencana Broadband Nasional ke Kongres.,1,Train,informasi dirilis comptel besok ketua komisi komunikasi federal dijadwalkan rencana broadband nasional ke kongres
"Svyturys-Utenos Alus, yang dikendalikan oleh grup Nordik Baltic Beverages Holding (BBH), membukukan pertumbuhan penjualan bir selama Januari-Mei sebesar 4,7 persen menjadi 46,22 juta liter.",2,Train,svyturys utenos alus dikendalikan grup nordik baltic beverages holding bbh membukukan pertumbuhan penjualan bir selama januari mei sebesar token_persen menjadi token_angka juta liter
"Perusahaan beralih ke laba per saham (EPS) EUR 0,03 versus rugi per saham EUR 0,01.",2,Train,perusahaan beralih ke laba saham eps token_uang versus rugi saham token_uang
"Perusahaan Suominen Finlandia yang berspesialisasi dalam tisu basah , bukan tenunan , dan kemasan fleksibel melaporkan penjualan bersih sebesar EUR 44,1 juta pada kuartal kedua tahun 2010 , naik dari EUR 43,3 juta pada kuartal kedua tahun 2009 .",2,Train,perusahaan suominen finlandia berspesialisasi tisu basah tenunan kemasan fleksibel melaporkan penjualan bersih sebesar token_uang kuartal token_tahun naik dari token_uang kuartal token_tahun
Tidak ada perubahan terkait kepemilikan saham Tiimari oleh Virala Oy Ab.,1,Train,tidak perubahan terkait kepemilikan saham tiimari virala perusahaan ab
Hasil akhir dari rights issue akan dilaporkan sekitar tanggal 23 Oktober 2009 .,1,Train,hasil dari rights issue dilaporkan sekitar tanggal token_angka oktober token_tahun
"menyempit menjadi EUR2 ,8 m 9-mo '09 29 Oktober 2009 - Pengembang perangkat lunak dan perangkat keras Finlandia Elektrobit Oyj HEL : EBG1V , atau EB , hari ini mengatakan bahwa kerugian bersihnya menyempit menjadi EUR2 ,8 m selama sembilan bulan pertama tahun 2009 dari EUR35 0,6 m untuk periode yang sama tahun lalu.",2,Train,menyempit menjadi token_uang token_angka token_angka mo token_angka token_angka oktober token_tahun pengembang perangkat lunak perangkat keras finlandia elektrobit perusahaan publik bursa efek helsinki ebg token_angka v eb kerugian bersihnya menyempit menjadi token_uang token_angka selama sembilan token_tahun dari token_uang token_angka periode
"Eero Katajavuori , saat ini Wakil Presiden Grup , Sumber Daya Manusia , akan mengambil cuti panjang selama setahun mulai dari 1 Oktober 2010 .",1,Train,eero katajavuori wakil presiden grup sumber daya manusia mengambil cuti selama setahun dari token_angka oktober token_tahun
"Pembicaraan itu melibatkan Divisi Makanan dan Bahan, serta fungsi layanan kelompok, kata perusahaan itu.",1,Train,pembicaraan melibatkan divisi makanan bahan fungsi layanan kelompok perusahaan
"Sebagai contoh , penjualan bersih meningkat sebesar 5,9 % dari kuartal pertama , dan EBITDA meningkat dari EUR 0,2 juta negatif pada kuartal pertama tahun 2009 .",2,Train,contoh penjualan bersih meningkat sebesar token_angka dari kuartal ebitda meningkat dari token_uang negatif kuartal token_tahun
Penjualan bersih Kone naik sekitar 14 % tahun ke tahun dalam sembilan bulan pertama tahun 2008 .,2,Train,penjualan bersih kone naik sekitar token_angka ke sembilan token_tahun
"` Nordea jelas terlalu besar untuk diakuisisi Sampo , ' kata seorang analis ` Tapi Sampo tampaknya memiliki agenda untuk Nordea menjelang privatisasi .",1,Train,nordea diakuisisi sampo analis sampo memiliki agenda nordea menjelang privatisasi
"CEO Finlandia Kemira Group , Lasse Kurkilahti , mengatakan reorganisasi struktural Grup akan berlanjut setidaknya selama satu tahun .",1,Train,direktur utama finlandia kemira group lasse kurkilahti reorganisasi struktural grup berlanjut selama
"Metso Paper Finlandia telah mendapatkan kontrak untuk membangun kembali pabrik pulp Sabah Forest Industries (SFI) di Sabah, Malaysia.",2,Train,metso corporation paper finlandia kontrak membangun pabrik pulp sabah forest industries sfi sabah malaysia
- Penjualan bersih untuk periode tersebut diperkirakan turun jauh di bawah tahun lalu dan hasil setelah item yang tidak berulang diharapkan berada di posisi merah.,0,Train,penjualan bersih periode turun bawah hasil setelah item tidak berulang diharapkan posisi merah
"Saham di Royal and Sun Alliance terus turun dari level tertinggi 12 bulan di 172p bulan lalu, setelah calon peminang membatalkan tawaran pengambilalihan.",0,Train,saham royal sun alliance turun dari level tertinggi token_angka 172p setelah calon peminang membatalkan tawaran pengambilalihan
Negosiasi akan menyangkut departemen pabrik yang memproduksi angin keliling yang mempekerjakan 10 orang .,1,Train,negosiasi departemen pabrik memproduksi angin keliling mempekerjakan token_angka orang
"Harga akuisisi tetap sejumlah NOK 70 (sekitar EUR 8,7) juta dan harga tambahan NOK 15 (EUR 1,8) juta maksimal.",1,Train,harga akuisisi nok token_angka sekitar token_uang juta harga tambahan nok token_angka eur token_angka juta maksimal
Modal saham Basware Corporation adalah 11.720.829 .,1,Train,modal saham basware corporation token_angka token_angka
"Laba bersih Outotec untuk kuartal kedua 2007 melonjak menjadi 16,8 juta euro ($23,1 juta) dari 4,6 juta euro ($6,3 juta) tahun lalu.",2,Train,laba bersih outotec kuartal token_tahun melonjak menjadi token_angka juta euro token_angka juta dari token_angka juta euro token_angka juta
Kisaran peningkatan akan bervariasi hingga 10%.,1,Train,kisaran peningkatan bervariasi hingga token_angka
Modal gabungan dari dana ini diharapkan EUR 100mn-150mn .,1,Train,modal gabungan dari dana diharapkan euro 100mn 150mn
"Menurut Managing Director Honka Jepang Marko Saarelainen, Honkarakenne mengekspor sekitar 200 rumah kayu siap pakai ke Jepang setiap tahun.",1,Train,managing director honka jepang marko saarelainen honkarakenne mengekspor sekitar token_angka rumah kayu pakai ke jepang
"Bea ekspor Rusia akan mengaktifkan pemanenan di Finlandia, dan penjualan di Rusia juga akan meningkat.",2,Train,bea ekspor rusia mengaktifkan pemanenan finlandia penjualan rusia meningkat
Nilai kontrak adalah EUR 25 juta.,1,Train,nilai kontrak token_uang
"Total pendapatan operasional tumbuh sebesar 27,6% tahun-ke-tahun menjadi EUR61 juta.",2,Train,total pendapatan operasional tumbuh sebesar token_angka ke menjadi token_uang
"Profitabilitas ( EBIT % ) adalah 13,6 % , dibandingkan dengan 14,3 % pada Q2 2009 .",0,Train,profitabilitas laba operasional token_angka dibandingkan token_angka kuartal token_tahun
"Nilai wajar properti investasi perusahaan turun menjadi EUR2 ,769 miliar pada akhir September 2009 dari EUR2 ,878 miliar tahun sebelumnya .",0,Train,nilai wajar properti investasi perusahaan turun menjadi token_uang token_angka miliar september token_tahun dari token_uang token_angka miliar
Perusahaan tersebut akan menjadi bagian dari area bisnis Solusi Video dan Broadband Teleste.,1,Train,perusahaan menjadi dari area bisnis solusi video broadband teleste
Permukaan depan pelat katup ini diarahkan satu sama lain.,1,Train,permukaan pelat katup diarahkan
Kesepakatan itu tidak akan berpengaruh signifikan terhadap rasio ekuitas perusahaan pengakuisisi.,1,Train,kesepakatan tidak berpengaruh signifikan rasio ekuitas perusahaan pengakuisisi
"Pada pukul 14:29 CET pada hari Senin, saham di Bavarian Nordic telah naik 1,21% menjadi DKK250 di bursa saham di Kopenhagen setelah turun 7,41% pada bulan lalu.",2,Train,token_angka token_angka cet senin saham bavarian nordic naik token_angka menjadi dkk250 bursa saham kopenhagen setelah turun token_angka
Prasyarat untuk dimasukkan dalam program dan untuk menerima keuntungan adalah bahwa karyawan kunci memperoleh saham Aspo dengan jumlah maksimum yang ditentukan oleh Dewan di muka.,1,Train,prasyarat dimasukkan program menerima keuntungan karyawan kunci memperoleh saham aspo maksimum ditentukan dewan muka
"Laba operasi berjumlah EUR 3,8 juta , turun dari EUR 4,5 juta pada periode yang sama tahun 2005 .",0,Train,laba operasi token_uang turun dari token_uang periode token_tahun
Beliau adalah Chartered Accountant di British Columbia dan Alberta serta Certified Public Accountant di Washington State.,1,Train,beliau chartered accountant british columbia alberta certified public accountant washington state
"Laba bersih grup pengelolaan dan pembersihan sampah Finlandia Lassila & Tikanoja Oyj ( L&T ) turun menjadi 32,2 juta euro ($ 47,7 juta) untuk tahun 2007 dari 35,3 juta euro ($ 52,3 juta) untuk tahun 2006.",0,Train,laba bersih grup pengelolaan pembersihan sampah finlandia lassila tikanoja perusahaan publik l turun menjadi token_angka juta euro token_angka juta token_tahun dari token_angka juta euro token_angka juta token_tahun
"Finnish Bank of +àland melaporkan laba operasi sebesar EUR 2,2 juta di kuartal pertama 2010 , turun dari EUR 6,3 juta di periode yang sama di tahun 2009 .",0,Train,finnish bank àland melaporkan laba operasi sebesar token_uang kuartal token_tahun turun dari token_uang periode token_tahun
turun ke EUR5 .9 juta H1 '09 3 Agustus 2009 - Grup media Finlandia Ilkka-Yhtyma Oyj ( HEL : ILK2S ) hari ini mengatakan laba bersihnya turun 45 % pada tahun ini menjadi EUR5 .9 juta di paruh pertama tahun 2009 .,0,Train,turun ke token_uang token_angka juta h1 token_angka token_angka agustus token_tahun grup media finlandia ilkka yhtyma perusahaan publik bursa efek helsinki ilk token_angka laba bersihnya turun token_angka menjadi token_uang token_angka juta paruh token_tahun
Situasi produksi kini telah membaik.,2,Train,situasi produksi membaik
Ruukki Group menghitung bahwa mereka telah kehilangan EUR 4 juta dalam proyek yang gagal tersebut.,0,Train,ruukki group menghitung kehilangan token_uang proyek gagal
"Produsen kemasan fleksibel Finlandia Suominen Corporation melaporkan penjualan bersih sebesar EUR 54,5 juta pada kuartal pertama 2008, dibandingkan dengan EUR 54,3 juta setahun sebelumnya.",2,Train,produsen kemasan fleksibel finlandia suominen corporation melaporkan penjualan bersih sebesar token_uang kuartal token_tahun dibandingkan token_uang setahun
"Boomerang Boats memiliki penjualan bersih sebesar EUR 4,1 juta dan menghasilkan keuntungan operasional sebesar EUR 0,4 juta pada tahun 2006 .",1,Train,boomerang boats memiliki penjualan bersih sebesar token_uang menghasilkan keuntungan operasional sebesar token_uang token_tahun
Sementara tugas CEO akan diemban oleh Deputy CEO Outotec Seppo Rantakari.,1,Train,tugas direktur utama diemban deputy direktur utama outotec seppo rantakari
Rapat pemegang saham Glisten untuk memberikan suara pada tawaran tersebut akan diadakan pada 12 Maret.,1,Train,rapat pemegang saham glisten suara tawaran diadakan token_angka maret
Konstruksi dijadwalkan akan dimulai pada bulan April-Juni 2007 dan akan selesai pada awal tahun 2008 .,1,Train,konstruksi dijadwalkan april juni token_tahun selesai token_tahun
"Saat ini, perusahaan menggunakan delapan reach stacker serupa dan empat penangan kontainer kosong dari Konecranes.",1,Train,perusahaan delapan reach stacker penangan kontainer kosong dari konecranes
Mr Jortikka adalah presiden divisi logam dasar Outotec Oyj di Finlandia dan berada di komite eksekutif Outotec.,1,Train,mr jortikka presiden divisi logam dasar outotec perusahaan publik finlandia komite eksekutif outotec
"EPS terdilusi naik menjadi EUR3 ,68 dari EUR0 ,50 .",2,Train,eps terdilusi naik menjadi token_uang token_angka dari token_uang token_angka
`` Kami menjual bisnis pengembangan sistem informasi ke Finlandia.,1,Train,menjual bisnis pengembangan sistem informasi ke finlandia
"Laba operasi konsolidasi dari operasi yang dilanjutkan turun sebesar 62,3 % menjadi EUR 51,2 juta dari EUR 135,7 juta di tahun 2007 .",0,Train,laba operasi konsolidasi dari operasi dilanjutkan turun sebesar token_angka menjadi token_uang dari token_uang token_tahun
"Arto Ryymin , lahir 1964 , akan menggantikan Juhani Kaisanlahti yang menjabat sebagai pelaksana tugas EVP , Healthcare & Welfare sejak Agustus 2007 .",1,Train,arto ryymin lahir token_tahun menggantikan juhani kaisanlahti menjabat pelaksana tugas evp healthcare welfare agustus token_tahun
Perjanjian tersebut berlaku selama empat tahun.,1,Train,perjanjian berlaku selama
"Pengumuman Bursa Efek Incap Corporation 29 April 2010 pukul 13:00 UNDANGAN KE KONFERENSI BERITA MENGENAI LAPORAN INTERIM INCAP Q1-2010 Incap akan menerbitkan laporan interimnya untuk Januari-Maret 2010 pada hari Rabu, 5 Mei 2010.",1,Train,pengumuman bursa efek incap corporation token_angka april token_tahun token_angka token_angka undangan ke konferensi berita laporan interim incap q1 token_tahun incap menerbitkan laporan interimnya januari maret token_tahun rabu token_angka mei token_tahun
`` Kecenderungan di pasar olahraga dan rekreasi menguntungkan di bulan-bulan pertama tahun ini.,2,Train,kecenderungan pasar olahraga rekreasi menguntungkan
Syarat dan ketentuan skema opsi saham tahun 2003 diterbitkan dalam rilis bursa pada tanggal 31 Maret 2003 .,1,Train,syarat ketentuan skema opsi saham token_tahun diterbitkan rilis bursa tanggal token_angka maret token_tahun
Pabrik itu akan mengumpulkan bahan mentah dari kawasan Laut Baltik.,1,Train,pabrik mengumpulkan bahan mentah dari kawasan laut baltik
"Laba operasional meningkat menjadi EUR 3,11 juta dari EUR 1,22 juta pada periode yang sama tahun 2009 .",2,Train,laba operasional meningkat menjadi token_uang dari token_uang periode token_tahun
"Kesepakatan itu bernilai sekitar EUR 1,2 juta.",1,Train,kesepakatan bernilai sekitar token_uang
"2010 16 Juli 2010 - Pembuat baja Finlandia Rautaruukki Oyj HEL : RTRKS , atau Ruukki , mengatakan hari ini ia berubah menjadi laba bersih EUR20m pada kuartal kedua tahun 2010 dari rugi bersih EUR94m pada periode yang sama tahun lalu .",2,Train,token_tahun token_angka juli token_tahun pembuat baja finlandia rautaruukki perusahaan publik bursa efek helsinki rtrks ruukki berubah menjadi laba bersih token_uang kuartal token_tahun dari rugi bersih token_uang periode
"25 Juni 2008 (Laporan Boy Genius disampaikan oleh Newstex) - Nokia (NYSE: NOK) N78, ya?",1,Train,token_angka juni token_tahun laporan boy genius newstex nokia nyse nok n78 ya
"Perusahaan teknologi wafer silikon Finlandia Okmetic Oyj OMX Helsinki : OKM1V melaporkan pada hari Kamis tanggal 30 Oktober keuntungan operasi sebesar EUR7 ,4 juta untuk Januari-September 2008 , naik dari EUR6 ,1 juta pada periode yang sama tahun 2007 .",2,Train,perusahaan teknologi wafer silikon finlandia okmetic perusahaan publik bursa efek nordik helsinki okm token_angka v melaporkan kamis tanggal token_angka oktober keuntungan operasi sebesar token_uang token_angka juta januari september token_tahun naik dari token_uang token_angka juta periode token_tahun
Transaksi tersebut direncanakan akan dibiayai dengan pinjaman berbasis pasar EUR40 juta yang diberikan oleh Standard Chartered Bank Hong Kong.,1,Train,transaksi direncanakan dibiayai pinjaman berbasis pasar token_uang standard chartered bank hong kong
"Grup N+1 akan membayar EUR16 ,5 juta dari harga transaksi pada saat penutupan , dan jumlah sisanya pada tahun 2012 .",1,Train,grup n token_angka membayar token_uang token_angka juta dari harga transaksi penutupan sisanya token_tahun
Nilai transaksinya adalah CAD 15 juta sekitar EUR 10 juta.,1,Train,nilai transaksinya cad token_angka juta sekitar token_uang
Indigo dan Somoncom melayani 377.000 pelanggan dan memiliki pangsa pasar sekitar 27 % per Mei 2007 .,1,Train,indigo somoncom melayani token_angka pelanggan memiliki pangsa pasar sekitar token_angka mei token_tahun
"Sebagai bagian dari perjanjian, 10 karyawan dari fungsi dokumentasi John Deere Forestry akan dipindahkan ke DokuMentori Oy.",1,Train,dari perjanjian token_angka karyawan dari fungsi dokumentasi john deere forestry dipindahkan ke dokumentori oy
"Laba operasional meningkat menjadi EUR 103,4 juta dari EUR 23,2 pada periode yang sama tahun 2006 .",2,Train,laba operasional meningkat menjadi token_uang dari token_uang periode token_tahun
"Laba untuk periode tersebut berjumlah EUR 0,8 juta , turun dari EUR 1,1 juta pada periode yang sama tahun 2008 .",0,Train,laba periode token_uang turun dari token_uang periode token_tahun
"Fortum membutuhkan sinyal komitmen yang jelas dari Pemerintah bahwa izin sudah tersedia sebelum perusahaan memulai putaran berikutnya, kata Kuula.",1,Train,fortum membutuhkan sinyal komitmen dari pemerintah izin tersedia perusahaan putaran kuula
"Tindakan ini mengikuti negosiasi personil mengenai Elcoteq SE , Cabang Finlandia , Elcoteq Finland Oy dan Elcoteq Design Center Oy .",1,Train,tindakan mengikuti negosiasi personil elcoteq cabang finlandia elcoteq finland perusahaan elcoteq design center perusahaan
